"ori_node";"des_node";"ori_layer"
6877;12852;2
6877;21860;2
6878;6232;2
6878;16578;2
6878;28896;2
6878;35928;2
6878;39495;2
6878;40350;2
6913;6865;2
6913;29078;2
6934;28799;2
6934;50499;2
6940;32057;2
6940;36714;2
6940;118954;2
6950;35978;2
6950;42032;2
6999;30995;2
6999;131113;2
7032;8142;2
7032;15736;2
7032;34450;2
7046;19071;2
7046;27382;2
7065;2089;2
7065;99552;2
7082;5797;2
7082;7082;2
7082;25903;2
7082;35446;2
7090;7090;2
7090;12406;2
7090;47783;2
7186;22830;2
7186;39639;2
7186;45019;2
7200;6216;2
7200;141083;2
7218;32066;2
7218;35828;2
7218;39763;2
7218;45782;2
7218;52919;2
7263;1893;2
7263;2679;2
7270;9433;2
7270;11592;2
7270;50912;2
7300;1133;2
7300;1807;2
7300;2837;2
7300;3957;2
7300;4919;2
7300;5719;2
7300;7611;2
7300;10348;2
7300;10402;2
7300;11603;2
7300;13745;2
7300;18467;2
7300;18692;2
7300;28622;2
7300;29204;2
7300;37160;2
7300;37229;2
7300;38024;2
7300;39227;2
7300;39448;2
7300;39490;2
7300;40881;2
7300;40903;2
7300;43673;2
7300;45264;2
7300;50926;2
7300;51104;2
7300;51183;2
7332;4514;2
7332;20325;2
7332;49314;2
7332;133356;2
7380;4319;2
7380;14677;2
7380;16401;2
7382;2695;2
7382;28520;2
7382;28846;2
7384;2255;2
7384;23239;2
7387;8396;2
7387;50522;2
7398;570;2
7398;636;2
7398;2089;2
7398;3921;2
7398;8569;2
7398;12597;2
7398;17510;2
7398;18962;2
7398;23471;2
7398;23853;2
7398;24329;2
7398;25625;2
7398;25882;2
7398;35458;2
7398;37496;2
7398;37570;2
7398;37744;2
7398;40760;2
7398;41573;2
7398;41901;2
7398;48111;2
7398;49603;2
7399;5273;2
7399;20190;2
7399;198070;2
7416;14682;2
7416;42288;2
7432;8108;2
7432;8561;2
7432;10761;2
7432;12168;2
7432;20293;2
7432;21960;2
7432;45147;2
7432;50924;2
7446;32923;2
7446;34325;2
7446;97415;2
7458;1495;2
7458;9323;2
7458;14605;2
7458;20397;2
7458;21164;2
7458;27200;2
7458;31368;2
7458;35082;2
7458;35134;2
7458;35504;2
7458;35743;2
7458;37700;2
7458;42049;2
7458;49630;2
7461;27133;2
7461;42067;2
7461;241233;2
7485;19056;2
