source;target;layer;year
1852948;278588;collab;2011
1973531;794527;collab;2003
976195;54170929;collab;2010
5031278;45178;collab;2010
3365380;851440;collab;1999
1500881;954490;collab;2004
5201914;9429566;collab;2010
393263;3312548;collab;2003
2144678;26112;collab;2001
795368;2167811;collab;2000
1358916;3313407;collab;2010
56875363;918710;collab;2010
1094428;3317730;collab;2003
719981;70911;collab;2010
3545865;2298592;collab;2009
19202;494965;collab;2008
6923352;1695628;collab;1999
1328979;1363826;collab;2002
3629727;42296873;collab;2008
359050;53890749;collab;2000
53192;253283;collab;2003
47225740;15534;collab;1992
494965;2114277;collab;2006
2437370;1554243;collab;2011
601959;3377755;collab;2009
1745056;257916;collab;1998
47527854;3067295;collab;2003
1499701;3539699;collab;2007
2924426;341294;collab;2009
55870604;3365213;collab;2002
1184516;3313407;collab;2006
55396940;9180183;collab;1993
53402331;22307522;collab;1990
1466157;10878484;collab;2008
10832690;527569;collab;2004
3365388;22304884;collab;1993
13421357;2295139;collab;2009
299610;3365270;collab;1993
3609934;695126;collab;2009
3355369;586915;collab;2007
98177;357786;collab;1987
385931;795368;collab;2000
34063274;604144;collab;2011
1695830;624861;collab;2001
3365218;2708499;collab;1981
3505220;509724;collab;2004
2689917;1819604;collab;2011
53416656;3549915;collab;2008
688801;2335802;collab;2010
566838;331022;collab;2010
379606;1208922;collab;2010
3355369;2843518;collab;2008
59042;53779185;collab;1994
448985;3238176;collab;2011
345165;2114277;collab;2003
92403;1307643;collab;1978
3629702;69050;collab;2008
933630;811813;collab;2010
53890749;299610;collab;1998
2132771;840035;collab;1997
1200530;616265;collab;2004
34063279;150077;collab;2011
819325;169069;collab;2010
1695628;981847;collab;2000
2972930;755515;collab;2009
10706025;1353615;collab;2008
10517491;85018;collab;1985
1722247;23354738;collab;1992
19525;390956;collab;2005
1200159;70423;collab;2011
501775;616265;collab;2004
438479;1156820;collab;2011
601959;17950542;collab;2009
588989;1232150;collab;1998
1903859;300644;collab;1993
1117178;1562235;collab;2001
867633;103922;collab;1989
1521225;795368;collab;2007
12518928;1142659;collab;2004
3832279;1727701;collab;2009
1044933;315058;collab;1988
34063294;3485100;collab;2011
17935198;2114277;collab;2010
542924;1488310;collab;2009
18531293;2320964;collab;2011
78072;261768;collab;1999
83891;1025739;collab;1995
2295139;1993470;collab;2000
1629310;438079;collab;2002
379385;1644999;collab;2005
20735796;3352114;collab;2009
3506583;1429721;collab;2006
459290;133710;collab;2005
734167;153119;collab;2002
758524;3313750;collab;2002
339962;7270619;collab;2009
1924104;795368;collab;1997
795368;80674;collab;1999
731329;794527;collab;2008
1858639;26686546;collab;1997
1818317;616265;collab;2005
3629689;1593506;collab;2008
2616261;1536874;collab;2002
3860428;413409;collab;2011
601959;3571628;collab;2010
49939857;524350;collab;1998
61060;3425141;collab;2011
19525;708524;collab;2005
601959;2437370;collab;2009
1819604;22939480;collab;2004
359050;1527651;collab;2002
1751940;2344131;collab;2003
2189701;1307643;collab;1978
1461050;333937;collab;2003
3642213;1577705;collab;2008
520332;1780247;collab;2009
253283;1772051;collab;2001
524350;1740723;collab;1997
2437370;1769228;collab;2011
3442398;867633;collab;2011
666211;1034757;collab;2004
10521580;40419564;collab;2004
51580817;3607548;collab;2011
3365295;54170929;collab;2003
42138;3322859;collab;2007
808963;954490;collab;2002
613094;3576686;collab;2010
50293022;1200530;collab;2011
1079366;85018;collab;1992
1970849;2060748;collab;2011
34031474;278588;collab;2011
9424424;2917734;collab;2010
17876629;12518928;collab;2004
359050;341294;collab;2003
509724;1200159;collab;1997
54587358;8194279;collab;1981
2132771;15534;collab;1997
47271543;58129;collab;2003
47639686;2114277;collab;2002
903828;1363826;collab;2007
316837;409393;collab;2003
1236596;755515;collab;2009
1126212;53307089;collab;2010
2975450;1034757;collab;2011
3653216;259224;collab;2010
1780247;1710871;collab;2003
1291393;53620119;collab;2007
51599466;17927374;collab;2007
21997;2114277;collab;2006
65293;1993470;collab;1999
326230;92955;collab;2010
64576;502782;collab;2008
10514273;623711;collab;2007
1420271;2624870;collab;2009
436123;889494;collab;1997
1780247;683784;collab;2004
53640323;58129;collab;2005
875189;12716274;collab;2005
3823153;859601;collab;2010
1769228;571081;collab;1996
403149;1356251;collab;2006
494859;3333413;collab;1994
40420210;3365256;collab;1993
2229939;1200530;collab;2003
188847;1772051;collab;1996
3365408;3365365;collab;2002
2810717;2004084;collab;2009
43994839;9170123;collab;2008
1938083;954490;collab;2003
46356;114000;collab;1982
1533004;2899408;collab;2002
18229;1554243;collab;2001
3629736;224552;collab;2008
991039;49828159;collab;1996
34063316;244466;collab;2011
359050;17897922;collab;2000
494965;2114277;collab;2004
810078;2295139;collab;2007
1402107;1894512;collab;2003
2624870;502782;collab;2006
9431811;347041;collab;2010
1200530;10490302;collab;2004
13205983;3546571;collab;2011
1819604;981847;collab;2010
3577492;51599466;collab;2010
1402107;1417835;collab;2003
588349;3316959;collab;2011
1119998;494965;collab;2009
3409131;852589;collab;2006
10832690;1683900;collab;2003
3313779;2914011;collab;2007
634165;1633442;collab;1999
47225740;3179124;collab;1992
1309138;2021111;collab;1981
12518928;47471283;collab;2004
426596;417545;collab;2003
5672440;3313407;collab;2011
1091008;6829944;collab;2005
991693;907634;collab;2004
10707577;426596;collab;2004
1765874;64290;collab;2000
6159353;1894512;collab;2011
56882784;1388049;collab;2010
3829656;3829659;collab;2011
3010168;210600;collab;2008
705794;10832690;collab;1999
1417835;3317727;collab;2000
53637959;5730;collab;1998
573577;384014;collab;2002
508274;87624;collab;1990
613094;1176515;collab;2010
719981;27742;collab;2010
3564564;975664;collab;2011
55997346;1363826;collab;2007
358294;1991506;collab;1998
557751;1456480;collab;2004
1993470;582393;collab;1981
10224196;51599466;collab;2010
1232150;332741;collab;2001
907095;12459928;collab;1984
1695628;1765874;collab;2007
1258987;846634;collab;2008
1111513;2164557;collab;2007
1695628;662803;collab;2002
3832258;695126;collab;2009
2324949;795368;collab;2004
1265522;1976061;collab;2002
1332785;3365274;collab;1989
353523;45909;collab;1990
1370132;616265;collab;2000
194289;59042;collab;2007
23380572;3313407;collab;2010
662872;851440;collab;1996
286931;1790104;collab;1989
795368;1265522;collab;2002
1333303;1392090;collab;2010
2309290;6829944;collab;2010
188847;7817502;collab;1995
58129;53067561;collab;1999
2262242;35554435;collab;2010
1752424;64290;collab;2009
708524;179336;collab;2000
553305;832491;collab;2003
3214320;561596;collab;1996
53591624;17902638;collab;2009
2114277;19202;collab;2009
1058778;3313407;collab;2006
2033428;52290693;collab;1994
42210600;59042;collab;2001
393752;53067561;collab;2003
828791;357786;collab;1984
1151530;300979;collab;2010
3549945;47237628;collab;2006
1200530;257916;collab;2003
40421340;3179124;collab;1989
169069;1036356;collab;2010
1608014;1818317;collab;2003
3635891;7521;collab;2011
9431812;1363826;collab;2010
3549924;3365400;collab;2006
21997;1109340;collab;2008
3518941;1594915;collab;2008
9432025;259224;collab;2010
2314808;49740233;collab;2004
1545830;13107612;collab;2011
1995279;1126212;collab;2011
40067;10706025;collab;2010
1467162;18461058;collab;2003
552;286931;collab;1990
1852948;3109325;collab;2011
442978;3526787;collab;2009
491458;258675;collab;2005
53159713;181077;collab;1988
486954;824769;collab;2008
34063281;253283;collab;2011
3560784;1048896;collab;2011
17927374;831237;collab;2003
3586567;4115898;collab;2006
47190796;92804;collab;2011
299484;361097;collab;2009
773154;1200530;collab;2000
390017;2323706;collab;1993
385681;233882;collab;2000
1536123;51449022;collab;2010
149736;3365456;collab;2003
1521025;755515;collab;2009
433468;695562;collab;1989
1780247;2616261;collab;2004
1934816;6115918;collab;1991
2689917;502782;collab;2011
487100;1152168;collab;2006
738673;1022478;collab;2003
1848411;385931;collab;2003
994018;406798;collab;2000
5925288;666668;collab;1981
1807506;2229939;collab;2005
3539699;731329;collab;2006
47562251;1221423;collab;2007
40422591;540819;collab;1990
1089624;1645842;collab;2006
2945658;846039;collab;2010
47481939;55105366;collab;2011
419063;47652218;collab;1981
765465;683706;collab;2002
403149;436123;collab;2002
3552916;1199500;collab;2009
1940208;335089;collab;2004
6831619;1310109;collab;2002
2335111;385346;collab;2006
3832288;1399202;collab;2011
3832249;1628808;collab;2009
40419197;17902638;collab;2002
276064;1140946;collab;2011
84674;2263719;collab;2000
9149894;1981909;collab;2006
42138;3393270;collab;2007
731329;47658298;collab;2008
1695628;1542517;collab;2007
42296873;10529311;collab;2002
53599278;299610;collab;1996
2320964;709853;collab;2011
299610;54170929;collab;1995
3629682;966585;collab;2008
3443839;3823274;collab;2005
51670;738673;collab;2009
5819944;403145;collab;2010
442978;1467208;collab;2007
719117;1138939;collab;1993
2470055;3823274;collab;2007
2358027;17904819;collab;2003
3629702;1410035;collab;2008
